pattern_idx,consensus_idx
118,802
119,814
128,888
231,1510
273,1690
274,1687
346,2192
348,2234
351,2294
369,2608
371,2681
375,2734
379,2977
381,3043
382,3074
384,3110
385,3154
386,3176
389,3213
392,3278
393,3315
394,3330
397,3381
402,3436
409,3552
424,3741
426,3756
429,3778
435,3819
444,3903
445,4202
450,4308
451,4675
452,4848
455,4945
456,5021
457,5038
458,5073
459,5077
460,5086
462,5131
466,5387
467,5424
468,5518
469,5625
471,5687
