pattern_idx,consensus_idx
280,1081
300,1227
480,2170
536,2388
582,2507
593,2536
594,2559
595,2560
604,2597
612,2610
682,2788
721,2878
795,3050
807,3085
881,3439
1009,3891
1044,3990
1053,4492
1199,5329
1255,5637
1319,5960
1320,6048
1338,6150
1346,6196
1361,6268
1409,6501
1430,6631
1441,6660
1453,6695
1461,6702
1523,6971
1527,7058
1536,7208
1546,7291
1555,7335
1570,7423
