pattern_idx,consensus_idx
27,52
62,270
77,527
157,814
187,993
249,1311
271,1414
285,1524
326,1749
345,1843
357,1902
386,2026
403,2399
462,3046
530,3345
577,3536
581,3546
633,3660
663,3785
692,3909
696,3936
843,4713
890,4834
925,4939
988,5117
1014,5221
1041,5291
1084,5467
1129,5613
1158,5750
1200,6019
1279,6517
1318,6864
1355,6993
1440,7408
1447,7542
1506,7638
1526,7723
1534,7754 
1543,7797
1559,7887
1570,8002
1588,8151
