pasada;grabacion;t_start;t_end;duration_min;duration_s;n_points;anomaly
1;1_1_10_H_C.gpx;2024-08-23 16:06:08 Z;2024-08-23 18:14:16 Z;128.1;7688;1020;✅ ok
1;1_1_11_E_C.gpx;2024-08-23 16:01:54 Z;2024-08-23 18:14:56 Z;133.0;7982;924;✅ ok
1;1_1_12_I_C.gpx;2024-08-23 16:12:00 Z;2024-08-23 18:12:02 Z;120.0;7202;817;✅ ok
1;1_1_13_J_C.gpx;2024-08-23 16:12:39 Z;2024-08-23 18:13:10 Z;120.5;7231;1442;✅ ok
1;1_1_14_J_C.gpx;2024-08-23 16:10:06 Z;2024-08-23 18:15:21 Z;125.2;7515;570;✅ ok
1;1_1_15_J_C.gpx;2024-08-23 16:10:24 Z;2024-08-23 18:15:42 Z;125.3;7517;1111;✅ ok
1;1_1_16_M_C.gpx;2024-08-23 16:11:30 Z;2024-08-23 18:13:09 Z;121.7;7299;2064;✅ ok
1;1_1_1_Q_C.gpx;2024-08-23 16:07:05 Z;2024-08-23 18:14:23 Z;127.3;7638;641;✅ ok
1;1_1_2_B_C.gpx;2024-08-23 16:04:29 Z;2024-08-23 18:13:49 Z;129.3;7760;1302;✅ ok
1;1_1_3_A_C.gpx;2024-08-23 16:05:53 Z;2024-08-23 18:14:29 Z;128.6;7716;953;✅ ok
1;1_1_4_C_C.gpx;2024-08-23 16:04:44 Z;2024-08-23 18:13:55 Z;129.2;7751;131;✅ ok
1;1_1_5_D_C.gpx;2024-08-23 16:05:38 Z;2024-08-23 18:13:48 Z;128.2;7690;108;✅ ok
1;1_1_6_E_C.gpx;2024-08-23 16:07:31 Z;2024-08-23 18:14:05 Z;126.6;7594;693;✅ ok
1;1_1_7_F_C.gpx;2024-08-23 16:04:12 Z;2024-08-23 18:13:41 Z;129.5;7769;768;✅ ok
1;1_1_8_A_C.gpx;2024-08-23 16:00:22 Z;2024-08-23 18:14:51 Z;134.5;8069;970;✅ ok
1;1_1_9_G_C.gpx;2024-08-23 16:03:08 Z;2024-08-23 18:14:10 Z;131.0;7862;1044;✅ ok
10;10_2_10_G_W.gpx;2024-09-06 11:57:55 Z;2024-09-06 12:50:35 Z;52.7;3160;3155;✅ ok
10;10_2_11_A_W.gpx;2024-09-06 11:57:57 Z;2024-09-06 12:50:29 Z;52.5;3152;206;✅ ok
10;10_2_12_N_W.gpx;2005-01-21 11:59:35 Z;2005-01-21 12:50:29 Z;50.9;3054;407;⚠️ fuera de rango
10;10_2_13_J_W.gpx;2024-09-06 11:58:24 Z;2024-09-06 12:50:27 Z;52.0;3123;547;✅ ok
10;10_2_14_J_W.gpx;2024-09-06 11:57:08 Z;2024-09-06 12:50:30 Z;53.4;3202;238;✅ ok
10;10_2_15_J_W.gpx;2024-09-06 11:57:11 Z;2024-09-06 12:50:26 Z;53.3;3195;462;✅ ok
10;10_2_16_J_W.gpx;2024-09-06 11:57:03 Z;2024-09-06 12:50:26 Z;53.4;3203;855;✅ ok
10;10_2_1_U_W.gpx;2024-09-06 11:58:28 Z;2024-09-06 12:50:32 Z;52.1;3124;3119;✅ ok
10;10_2_2_U_W.gpx;2024-09-06 11:58:20 Z;2024-09-06 12:50:31 Z;52.2;3131;3130;✅ ok
10;10_2_3_U_W.gpx;2024-09-06 11:58:29 Z;2024-09-06 12:50:28 Z;52.0;3119;3120;✅ ok
10;10_2_4_U_W.gpx;2024-09-06 11:58:31 Z;2024-09-06 12:50:30 Z;52.0;3119;3120;✅ ok
10;10_2_5_U_W.gpx;2024-09-06 11:58:31 Z;2024-09-06 12:50:30 Z;52.0;3119;3120;✅ ok
10;10_2_6_A_W.gpx;2024-09-06 11:57:55 Z;2024-09-06 12:50:31 Z;52.6;3156;228;✅ ok
10;10_2_7_A_W.gpx;2024-09-06 11:57:28 Z;2024-09-06 12:50:28 Z;53.0;3180;226;✅ ok
10;10_2_8_U_W.gpx;2024-09-06 11:57:22 Z;2024-09-06 12:50:33 Z;53.2;3191;3186;✅ ok
10;10_2_9_A2_W.gpx;2024-09-06 11:57:48 Z;2024-09-06 12:50:31 Z;52.7;3163;3164;✅ ok
11;11_2_10_Z_W.gpx;2024-09-06 12:58:13 Z;2024-09-06 13:49:17 Z;51.1;3064;193;✅ ok
11;11_2_11_Ñ_W.gpx;2024-09-06 12:58:28 Z;2024-09-06 13:50:09 Z;51.7;3101;194;✅ ok
11;11_2_12_A1_W.gpx;2005-01-21 12:51:57 Z;2005-01-21 13:45:41 Z;53.7;3224;189;⚠️ fuera de rango
11;11_2_13_J_W.gpx;2024-09-06 12:58:16 Z;2024-09-06 13:47:58 Z;49.7;2982;500;✅ ok
11;11_2_14_J_W.gpx;2024-09-06 12:51:25 Z;2024-09-06 13:47:45 Z;56.3;3380;240;✅ ok
11;11_2_15_J_W.gpx;2024-09-06 12:51:24 Z;2024-09-06 13:47:56 Z;56.5;3391;468;✅ ok
11;11_2_16_J_W.gpx;2024-09-06 12:53:41 Z;2024-09-06 13:48:10 Z;54.5;3269;865;✅ ok
11;11_2_1_B_W.gpx;2024-09-06 12:58:13 Z;2024-09-06 13:49:17 Z;51.1;3064;193;✅ ok
11;11_2_2_B_W.gpx;2024-09-06 12:58:11 Z;2024-09-06 13:48:23 Z;50.2;3012;255;✅ ok
11;11_2_3_B_W.gpx;2024-09-06 12:58:28 Z;2024-09-06 13:48:21 Z;49.9;2993;196;✅ ok
11;11_2_4_B_W.gpx;2024-09-06 12:58:25 Z;2024-09-06 13:48:18 Z;49.9;2993;186;✅ ok
11;11_2_5_B_W.gpx;2024-09-06 12:57:28 Z;2024-09-06 13:48:07 Z;50.6;3039;205;✅ ok
11;11_2_6_Ñ_W.gpx;2024-09-06 12:58:20 Z;2024-09-06 13:48:19 Z;50.0;2999;183;✅ ok
11;11_2_7_Y_W.gpx;2024-09-06 12:57:32 Z;2024-09-06 13:49:56 Z;52.4;3144;206;✅ ok
