fold,test_family,train_families,nn_mae_distance,nn_mae_elevation_pos,nn_mae_elevation_neg,nn_mae_overall,baseline_mae_distance,baseline_mae_elevation_pos,baseline_mae_elevation_neg,baseline_mae_overall
1,1,"10;11;2;3;3a;3b;3c;3d;4;5;6;7;8;9;9a;9b;9c;9d",12744.075426,569.287089,568.882987,4627.415167,12796.551460,3818.377352,3962.901795,6859.276869
2,10,"1;11;2;3;3a;3b;3c;3d;4;5;6;7;8;9;9a;9b;9c;9d",19454.903740,516.829686,516.199965,6829.311130,16185.920701,3358.245046,3559.036239,7701.067328
