time,dx,dy,dz
0,-4.15612599186925,-3.5848025906714827,-1.288198916570049
1,-2.490355657915162,-4.803395352031557,-0.968289902790659
2,-2.4903556578727764,-4.803395352032055,-0.9682899027907499
3,-0.29347014493113593,-5.321297275620864,0.9511641798852256
4,-0.29347014493004914,-5.321297275620366,0.9511641798851347
5,0.6239106187214819,-5.290832456662302,0.6312551661059267
6,0.20545623528524043,-5.067423783869424,1.1644368557380915
7,0.20545623532762594,-5.067423783435352,1.1644368557380007
8,0.20545623528524043,-5.067423783869424,1.1644368557380915
9,0.20545623528578383,-5.067423783869424,1.1644368557380915
10,0.20545623532816937,-5.067423783435851,1.1644368557380007
11,0.20545623528524043,-5.067423783868926,1.1644368557380915
12,-1.5729748942630875,-4.498747161583269,-0.008562861452762171
13,-1.572974894220702,-4.498747161583768,-0.008562861452762171
14,-1.935098879902209,-3.9503804190363967,-0.008562861452762171
15,-1.9350988798587367,-3.950380419035898,-0.008562861452762171
16,-1.9511932792655176,-3.361393917878107,-0.4351082131584941
17,-1.9511932792242188,-3.3613939174450316,-0.435108213158585
18,-1.9511932792671478,-3.361393917878107,-0.4351082131584941
19,-1.7178244885018905,-3.066900667082674,-0.3284718752320611
20,-1.7178244885013472,-3.066900667082674,-0.3284718752320611
21,-1.1142845123946648,-3.0364358481246096,-0.648380889011451
22,-1.114284512438137,-3.0364358481241114,-0.64838088901136
23,-0.8728685219689458,-2.975506209775406,0.15139164543693276
24,-0.8728685219694893,-2.9755062102079832,0.15139164543684186
25,-0.8728685220113314,-2.975506209774908,0.15139164543684186
26,-0.8728685219700327,-2.975506209774409,0.15139164543693276
27,-1.367771302353733,-3.1430627144785817,-0.1685173683424571
28,-1.367771302396662,-3.1430627149106605,-0.1685173683423662
29,-1.3677713023553633,-3.1430627149116575,-0.1685173683423662
30,-1.3677713023542764,-3.1430627144780834,-0.1685173683424571
31,-2.2489396674470576,-2.9450413908168436,-0.008562861452762171
32,-2.248939667446514,-2.9450413908163453,-0.008562861452762171
33,-2.2408924677865962,-2.7927172955924506,0.41798249025296974
34,-2.2408924677425803,-2.7927172960260243,0.41798249025306067
35,-2.2408924677855095,-2.7927172955919524,0.41798249025296974
36,-2.2408924677855095,-2.792717295592949,0.41798249025296974
37,-2.2408924677425803,-2.792717296025526,0.41798249025306067
38,-2.24089246778714,-2.792717295592949,0.41798249025296974
39,-2.1765148703273844,-2.609928381842571,0.6312551661058358
40,-1.6333288918483244,-2.823182114551013,1.7509367143335182
41,-1.6333288918483244,-2.8231821149835903,1.7509367143334273
42,-1.6333288918488678,-2.8231821149840886,1.7509367143334273
43,-1.6333288918483244,-2.823182114551013,1.7509367143335182
44,-0.6314525315432271,-2.9755062102069862,0.9511641798852256
45,-0.6314525315432271,-2.975506209775406,0.9511641798852256
46,0.3824946282528343,-2.8231821149835903,1.5909822074438236
47,0.38249462829576325,-2.823182114551013,1.5909822074438236
48,0.9136098072398435,-2.5794635624519295,0.9511641798852256
49,0.9136098072409303,-2.5794635624519295,0.9511641798851347
50,1.1067425995718327,-2.4271394672275366,0.15139164543693276
51,1.1067425996158484,-2.427139467228035,0.15139164543684186
52,1.106742599615305,-2.427139467660612,0.15139164543693276
53,1.106742599572376,-2.427139467228035,0.15139164543693276
54,1.106742599572376,-2.427139467228035,0.15139164543684186
55,1.1067425996158484,-2.427139467660612,0.15139164543693276
56,1.106742599615305,-2.4271394672275366,0.15139164543684186
57,1.106742599572376,-2.4271394672275366,0.15139164543693276
58,0.6903000160943147,-2.290047781482923,0.0714143919920853
59,0.6903000160513858,-2.290047781915999,0.0714143919920853
60,0.6903000160954015,-2.290047781482425,0.07141439199199438
61,0.6903000160954015,-2.290047781915999,0.0714143919920853
62,0.6903000160937713,-2.290047781482425,0.0714143919920853
63,0.6903000160954015,-2.290047781482923,0.07141439199199438
64,0.6903000160513858,-2.290047781915999,0.0714143919920853
65,0.6903000160948581,-2.290047781482425,0.0714143919920853
66,-0.18483294925271287,-1.7873782678059733,1.5909822074438236
67,-0.1848329492081537,-1.7873782673733962,1.5909822074438236
