pasada,pattern_file,fix_type,idx_ini,idx_fin,dz_median_diff_m,max_abs_slope_before
1,1_pattern.gpx,STEP,95,97,13.0,0.5005489315164496
1,1_pattern.gpx,SPIKE,137,138,32.099999999999994,0.3328303397609087
1,1_pattern.gpx,STEP,149,151,25.900000000000006,0.3416990923211782
1,1_pattern.gpx,STEP,333,337,14.5,0.3540698643664734
1,1_pattern.gpx,STEP,365,367,-7.600000000000023,0.3593071706707067
1,1_pattern.gpx,STEP,418,420,13.600000000000023,0.25054975947164704
1,1_pattern.gpx,STEP,443,448,43.200000000000045,0.3412386942634773
1,1_pattern.gpx,STEP,453,456,23.00740757468793,0.23528221671319818
1,1_pattern.gpx,SPIKE,459,460,12.58309627357653,0.20895672422762424
1,1_pattern.gpx,STEP,489,492,-45.0,0.28317974974035887
1,1_pattern.gpx,STEP,538,540,-44.60000000000002,0.3063908757699129
1,1_pattern.gpx,STEP,546,551,-33.06896438087995,0.6686129000531953
1,1_pattern.gpx,SPIKE,560,561,-22.305805184366193,0.4663185739765994
1,1_pattern.gpx,SPIKE,567,568,-31.298136790852595,0.2624386498038548
1,1_pattern.gpx,STEP,572,575,-41.0,0.3328248236297688
1,1_pattern.gpx,STEP,589,593,-11.716951989108225,0.5734580906736534
1,1_pattern.gpx,SPIKE,597,598,-14.032090816745665,0.5097405250336866
1,1_pattern.gpx,STEP,603,608,-20.05402373250149,0.6159999369412438
1,1_pattern.gpx,STEP,610,615,-15.978438847147231,0.599761715927058
1,1_pattern.gpx,SPIKE,623,624,-13.812823593865176,0.2317128880297472
1,1_pattern.gpx,STEP,631,633,-11.733380424380641,0.3881785276576137
1,1_pattern.gpx,STEP,653,655,-10.600000000000023,0.32281491975924864
1,1_pattern.gpx,STEP,660,664,-15.19418145314097,0.6996852039477632
1,1_pattern.gpx,SPIKE,666,667,-11.060125720200517,0.24368304395394821
1,1_pattern.gpx,STEP,670,673,-13.564059976367446,0.34916198531315557
1,1_pattern.gpx,SPIKE,697,698,-12.400000000000034,0.40789657893343506
1,1_pattern.gpx,SPIKE,700,701,-13.599999999999966,0.301123491441757
1,1_pattern.gpx,SPIKE,708,709,-13.704447536454495,0.24024353802704926
1,1_pattern.gpx,STEP,718,722,-11.300000000000011,0.3434872974922954
1,1_pattern.gpx,SPIKE,736,737,-18.80991177755493,0.27281054863906473
1,1_pattern.gpx,STEP,740,742,-21.655744605450764,0.28952708734712246
1,1_pattern.gpx,STEP,744,749,-23.92275204718385,0.43451479901630724
1,1_pattern.gpx,STEP,751,753,-18.41582908029278,0.24598922220350078
1,1_pattern.gpx,STEP,759,762,-19.70293510077431,0.3206250332985251
1,1_pattern.gpx,STEP,764,768,-23.09362821665536,0.306536889180254
1,1_pattern.gpx,SPIKE,771,772,-20.491126821794637,0.44020023456859764
1,1_pattern.gpx,SPIKE,780,781,-24.116059252232844,0.3734584172899981
1,1_pattern.gpx,STEP,783,785,-24.465081566186086,0.2898404380377979
1,1_pattern.gpx,SPIKE,992,993,-11.300000000000011,0.3514720359903624
1,1_pattern.gpx,SPIKE,1002,1003,-8.800000000000011,0.38236712549693025
1,1_pattern.gpx,SPIKE,1010,1011,-14.410802217742429,0.3051500558546622
1,1_pattern.gpx,SPIKE,1019,1020,-11.014771482419206,0.3647339441720911
1,1_pattern.gpx,SPIKE,1022,1023,-11.599999999999994,0.3010504243023562
1,1_pattern.gpx,SPIKE,1025,1026,-15.299999999999983,0.2246664383403843
12,12_pattern.gpx,SPIKE,353,354,-0.4000000000000057,0.28562632671920374
12,12_pattern.gpx,SPIKE,418,419,4.100000000000023,0.24726229180038223
