pattern_idx,consensus_idx
291,2593
292,2600
293,2616
294,2621
295,2627
296,2630
297,2636
298,2643
299,2650
300,2662
301,2683
302,2697
303,2705
304,2733
305,2745
307,2775
308,2788
312,2824
313,2844
318,2917
319,2930
320,2945
432,4524
446,4709
450,4769
464,4929
478,5125
498,5440
526,5833
874,8782
875,8800
876,8825
877,8848
878,8862
880,8936
891,9060
898,9117
1201,11987
1204,13786
1205,13790
1240,14049
1243,14066
1263,14294
1293,14580
1296,14628
1297,14728
1298,14808
1299,14865
1535,17395
1600,18346
1537,17542
